train_loss	validation_loss
0.7582045762141546	0.18408390829717872
0.644702060252428	0.15674897283315659
0.5973365988433361	0.15541460819474817
0.5721266803741455	0.13931984864617258
0.5553954056799412	0.14130720722866658
0.5443473246296247	0.13062199987653078
0.5338937308490276	0.13669382887895676
0.5259576268692812	0.13975307386984628
0.5205350226859252	0.14123586617768935
0.5145072566072146	0.14331901904822061
0.5083351906041305	0.13959216851083364
0.5043147978186607	0.1369683215211341
0.5007310752769312	0.13740493743488694
0.49723127733667694	0.1391291881119215
0.49328527345259987	0.12970381443286724
0.4902002792656422	0.14254027657049648
0.4877381911079089	0.13596740149777833
0.4854448022445043	0.14122898597465225
